ds,y
2001-12-03,431.25
2001-12-04,496.6666666666667
2001-12-05,440.0
2001-12-06,431.25
2001-12-07,432.5
2001-12-08,459.3333333333333
2001-12-10,470.0
2001-12-11,409.5
2001-12-12,377.5
2001-12-13,392.5
2001-12-14,413.3333333333333
2001-12-15,423.75
2001-12-18,416.875
2001-12-19,480.0
2001-12-20,410.55555555555554
2001-12-21,442.5
2001-12-22,382.0
2001-12-23,475.0
2001-12-24,380.0
2001-12-25,436.6666666666667
2001-12-26,374.0
2001-12-27,418.1818181818182
2001-12-28,412.22222222222223
2001-12-29,360.7142857142857
2001-12-30,400.0
2001-12-31,347.1666666666667
2002-01-01,395.14285714285717
2002-01-02,368.57142857142856
2002-01-03,404.1111111111111
2002-01-04,363.57142857142856
2002-01-05,406.5
2002-01-06,412.5
2002-01-07,391.8888888888889
2002-01-08,395.55555555555554
2002-01-09,386.1111111111111
2002-01-10,379.0
2002-01-11,433.75
2002-01-12,271.7142857142857
2002-01-13,287.5
2002-01-14,268.5
2002-01-15,350.0
2002-01-16,326.8181818181818
2002-01-17,426.1111111111111
2002-01-18,378.1818181818182
2002-01-19,349.27272727272725
2002-01-20,312.5
2002-01-21,370.6363636363636
2002-01-22,319.1333333333333
2002-01-23,305.45454545454544
2002-01-24,305.1666666666667
2002-01-25,260.5833333333333
2002-01-26,250.0
2002-01-27,285.0
2002-01-28,275.0
2002-01-29,249.0
2002-01-30,273.0
2002-01-31,275.625
2002-02-01,355.35714285714283
2002-02-02,354.25
2002-02-03,258.3333333333333
2002-02-04,322.1764705882353
2002-02-05,316.175
2002-02-06,283.44444444444446
2002-02-07,298.05555555555554
2002-02-08,314.64285714285717
2002-02-09,252.72727272727272
2002-02-10,250.0
2002-02-11,276.0
2002-02-12,420.4166666666667
2002-02-13,309.7368421052632
2002-02-14,296.875
2002-02-15,284.09090909090907
2002-02-16,307.3333333333333
2002-02-17,300.0
2002-02-18,302.3076923076923
2002-02-19,311.3333333333333
2002-02-20,302.6111111111111
2002-02-21,281.0
2002-02-22,298.3333333333333
2002-02-23,256.7142857142857
2002-02-24,313.75
2002-02-25,333.0
2002-02-26,303.3333333333333
2002-02-27,376.6666666666667
2002-02-28,371.57142857142856
2002-03-01,300.0
2002-03-02,349.7692307692308
2002-03-03,575.0
2002-03-04,327.84615384615387
2002-03-05,288.625
2002-03-06,375.3529411764706
2002-03-07,272.89473684210526
2002-03-08,298.6111111111111
2002-03-09,255.15384615384616
2002-03-10,350.0
2002-03-11,313.3529411764706
2002-03-12,312.5
2002-03-13,332.8333333333333
2002-03-14,308.1578947368421
2002-03-15,291.8076923076923
2002-03-16,317.94444444444446
2002-03-17,575.0
2002-03-18,297.3333333333333
2002-03-19,330.2857142857143
2002-03-20,310.7391304347826
2002-03-21,294.625
2002-03-22,261.45454545454544
2002-03-23,282.2857142857143
2002-03-24,300.0
2002-03-25,700.0
2002-03-26,266.66
2002-03-27,320.42857142857144
2002-03-28,290.0
2002-03-29,286.25
2002-03-30,327.53846153846155
2002-03-31,220.0
2002-04-01,305.0833333333333
2002-04-02,286.96153846153845
2002-04-03,274.78125
2002-04-04,274.7878787878788
2002-04-05,266.18518518518516
2002-04-06,303.67857142857144
2002-04-07,300.0
2002-04-08,281.6774193548387
2002-04-09,277.40625
2002-04-10,261.80555555555554
2002-04-11,297.2
2002-04-12,275.6322580645161
2002-04-13,313.0
2002-04-14,283.3333333333333
2002-04-15,245.3548387096774
2002-04-16,249.3918918918919
2002-04-17,267.71875
2002-04-18,299.04761904761904
2002-04-19,325.05555555555554
2002-04-20,294.8157894736842
2002-04-21,908.3333333333334
2002-04-22,293.3333333333333
2002-04-23,284.5833333333333
2002-04-24,304.3170731707317
2002-04-25,319.88235294117646
2002-04-26,284.95714285714286
2002-04-27,319.11764705882354
2002-04-28,250.0
2002-04-29,284.14285714285717
2002-04-30,276.21875
2002-05-01,268.125
2002-05-02,263.28125
2002-05-03,274.7432432432432
2002-05-04,262.0833333333333
2002-05-05,220.0
2002-05-06,288.21875
2002-05-07,304.2903225806452
2002-05-08,339.16129032258067
2002-05-09,297.1142857142857
2002-05-10,288.47058823529414
2002-05-11,274.9130434782609
2002-05-12,258.0
2002-05-13,390.6666666666667
2002-05-14,325.1304347826087
2002-05-15,297.62857142857143
2002-05-16,288.2647058823529
2002-05-17,337.2
2002-05-18,308.8333333333333
2002-05-19,243.75
2002-05-20,279.7096774193548
2002-05-21,296.3666666666667
2002-05-22,291.82758620689657
2002-05-23,304.41379310344826
2002-05-24,306.0833333333333
2002-05-25,325.0952380952381
2002-05-26,273.3333333333333
2002-05-27,306.90909090909093
2002-05-28,327.5151515151515
2002-05-29,330.52941176470586
2002-05-30,326.7096774193548
2002-05-31,330.70588235294116
2002-06-01,328.79411764705884
2002-06-02,431.25
2002-06-03,329.2647058823529
2002-06-04,336.05263157894734
2002-06-05,334.8421052631579
2002-06-06,324.94736842105266
2002-06-07,350.44444444444446
2002-06-08,323.4583333333333
2002-06-09,296.6666666666667
2002-06-10,340.69444444444446
2002-06-11,332.62857142857143
2002-06-12,342.6842105263158
2002-06-13,318.0
2002-06-14,326.8157894736842
2002-06-15,328.55263157894734
2002-06-16,356.25
2002-06-17,345.0975609756098
2002-06-18,359.5882352941176
2002-06-19,355.9047619047619
2002-06-20,370.4318181818182
2002-06-21,638.625
2002-06-22,377.8285714285714
2002-06-23,308.3333333333333
2002-06-24,369.8378378378378
2002-06-25,392.05882352941177
2002-06-26,360.5
2002-06-27,340.1842105263158
2002-06-28,392.5151515151515
2002-06-29,426.44827586206895
2002-06-30,307.5
2002-07-01,480.3478260869565
2002-07-02,424.2
2002-07-03,400.2105263157895
2002-07-04,406.225
2002-07-05,405.92105263157896
2002-07-06,409.6842105263158
2002-07-07,342.0
2002-07-08,398.09302325581393
2002-07-09,402.3958333333333
2002-07-10,407.8125
2002-07-11,418.7659574468085
2002-07-12,424.94444444444446
2002-07-13,426.7931034482759
2002-07-14,415.0
2002-07-15,395.3061224489796
2002-07-16,419.3541666666667
2002-07-17,403.12
2002-07-18,404.7708333333333
2002-07-19,430.3720930232558
2002-07-20,410.4146341463415
2002-07-21,435.0
