ds,y,rainfall,transport_lag_3
2017-01-19,1065.2937743190662,0.0,55.45000076293945
2017-01-20,1114.740139211137,0.0,55.470001220703125
2017-01-21,1127.9400479616306,0.0,53.91999816894531
2017-01-22,1033.7920353982302,0.0,54.15999984741211
2017-01-23,1095.2639821029084,0.0,55.4900016784668
2017-01-24,1040.9693251533743,0.0,55.4900016784668
2017-01-25,1090.1848249027237,0.0,55.4900016784668
2017-01-26,1052.179389312977,0.0,55.22999954223633
2017-01-27,1035.3406593406594,0.0,55.43999862670898
2017-01-28,1036.0376569037658,0.0,55.08000183105469
2017-01-29,959.2782258064516,0.0,56.2400016784668
2017-01-30,1042.7071290944123,0.0,55.52000045776367
2017-01-31,1031.0191489361703,0.0,55.52000045776367
2017-02-01,1041.0645833333333,0.0,55.52000045776367
2017-02-02,1047.6641074856045,0.0,55.22999954223633
2017-02-03,1031.4522821576763,0.0,55.70000076293945
2017-02-04,1047.9765458422175,0.0,55.65999984741211
2017-02-05,940.5182481751825,0.0,56.560001373291016
2017-02-06,1043.1237911025146,0.0,56.810001373291016
2017-02-07,1030.1363636363637,0.0,56.810001373291016
2017-02-08,1019.2129436325679,0.0,56.810001373291016
2017-02-09,1047.2892561983472,0.0,55.720001220703125
2017-02-10,1039.1479915433404,0.0,55.04999923706055
2017-02-11,940.8045685279188,0.0,55.119998931884766
2017-02-12,918.6356589147287,0.0,55.630001068115234
2017-02-13,996.6176470588235,0.0,56.70000076293945
2017-02-14,1030.340770791075,0.0,56.70000076293945
2017-02-15,1036.0925196850394,0.0,56.70000076293945
2017-02-16,1036.572796934866,0.0,55.59000015258789
2017-02-17,1017.1975308641976,0.0,55.970001220703125
2017-02-18,1064.4133333333334,0.0,55.75
2017-02-19,989.4889867841409,0.0,55.650001525878906
2017-02-20,1078.8488120950324,0.0,55.810001373291016
2017-02-21,1089.2156057494867,0.0,55.810001373291016
2017-02-22,1048.9208494208494,0.0,55.810001373291016
2017-02-23,1026.8218884120172,0.0,55.810001373291016
2017-02-24,1000.928125,0.0,56.65999984741211
